TermID,CanonicalTerm,Definition,OwningArtifact,Status,ProhibitedConflation
MS-TERM-001,Morning Star,"The constitutional architecture governing semantic integrity from first encounter through competent participation.",CONSTITUTION.md,CANONICAL,"Education platform | marketing funnel | universal authority"
MS-TERM-002,Canonical Object,"A governed object possessing stable identity, authority, scope, provenance, lifecycle state, and traceable relationships.",CONSTITUTION.md,CANONICAL,"Any mentioned object"
MS-TERM-003,Observer,"A role that has encountered or may encounter a governed object but has not yet demonstrated participation competency.",CONSTITUTION.md,CANONICAL,"Participant | contributor | steward"
MS-TERM-004,Participant,"An actor admitted to a bounded participation role through governed evidence and transition.",CONSTITUTION.md,CANONICAL,"Observer | unrestricted authority holder"
MS-TERM-005,Steward,"A participant entrusted with bounded custodial responsibility for continuity, revision, and constitutional preservation.",CONSTITUTION.md,CANONICAL,"Owner of truth | constitutional maintainer"
MS-TERM-006,Semantic State,"A governed representation of an actor's or artifact's relation to canonical meaning.",CONSTITUTION.md,CANONICAL,"Belief | intelligence | moral status"
MS-TERM-007,Participation State,"A governed representation of admissible participation scope and role.",CONSTITUTION.md,CANONICAL,"Semantic state | employment status"
MS-TERM-008,Interpretation,"A traceable representation of meaning derived from or related to a canonical source.",CONSTITUTION.md,CANONICAL,"Canonical source"
MS-TERM-009,Semantic Drift,"A loss or alteration of canonical identity, scope, dependency, authority, provenance, uncertainty, or interpretive class.",CONSTITUTION.md,CANONICAL,"Any disagreement"
MS-TERM-010,Semantic Reconstruction,"A governed restoration or replacement of a drifted representation using authoritative evidence and preserved traceability.",CONSTITUTION.md,CANONICAL,"Silent correction | deletion of error history"
MS-TERM-011,Dependency,"A governed prerequisite relationship constraining valid navigation, interpretation, or participation.",CONSTITUTION.md,CANONICAL,"Recommendation"
MS-TERM-012,Uncertainty Object,"A traceable object representing unknown, incomplete, disputed, approximate, speculative, or indeterminate status.",CONSTITUTION.md,CANONICAL,"Failure | absence of value"
MS-TERM-013,Provenance,"The reconstructable history of source, authority, transformation, revision, and custody.",CONSTITUTION.md,CANONICAL,"Citation alone"
MS-TERM-014,Competency,"Evidence-supported capability within a declared subject and scope.",CONSTITUTION.md,CANONICAL,"Authority | familiarity | agreement"
MS-TERM-015,Authority,"A bounded and attributable capacity to define, approve, maintain, interpret, or act within a governed scope.",CONSTITUTION.md,CANONICAL,"Influence | access | confidence"
MS-TERM-016,Framework Admission,"A governed decision permitting a framework to enter Morning Star representation and navigation.",CONSTITUTION.md,CANONICAL,"Endorsement | proof of truth"
MS-TERM-017,Constitutional Freeze,"A versioned reference state meeting declared convergence and verification criteria.",CONSTITUTION.md,CANONICAL,"Permanent immutability"
