"AssessmentID","ResponseID","PropertyClass","AssessorID","AssessmentResult","Materiality","Compensability","EvidenceReference","Rationale","AdjudicationStatus","FinalResult"
"MS-T6-ASM-001","MS-T6-RESP-001-A","ACTION_CONTROL","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T6-RESP-001-A;ACTION_CONTROL","The governed response retained the missing state, prevented unsupported action, and preserved resolution requirements.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-002","MS-T6-RESP-001-A","CERTAINTY_CLAIM","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T6-RESP-001-A;CERTAINTY_CLAIM","The governed response retained the missing state, prevented unsupported action, and preserved resolution requirements.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-003","MS-T6-RESP-001-A","DECISION","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T6-RESP-001-A;DECISION","The governed response retained the missing state, prevented unsupported action, and preserved resolution requirements.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-004","MS-T6-RESP-001-A","EVIDENCE_STATE","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T6-RESP-001-A;EVIDENCE_STATE","The governed response retained the missing state, prevented unsupported action, and preserved resolution requirements.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-005","MS-T6-RESP-001-A","INTERPRETATION","AS-001","PRESERVED","MATERIAL","COMPENSABLE","MS-T6-RESP-001-A;INTERPRETATION","The governed response retained the missing state, prevented unsupported action, and preserved resolution requirements.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-006","MS-T6-RESP-001-A","RESIDUAL_UNCERTAINTY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T6-RESP-001-A;RESIDUAL_UNCERTAINTY","The governed response retained the missing state, prevented unsupported action, and preserved resolution requirements.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-007","MS-T6-RESP-001-A","RESOLUTION_BOUNDARY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T6-RESP-001-A;RESOLUTION_BOUNDARY","The governed response retained the missing state, prevented unsupported action, and preserved resolution requirements.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-008","MS-T6-RESP-001-A","TRACEABILITY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T6-RESP-001-A;TRACEABILITY","The governed response retained the missing state, prevented unsupported action, and preserved resolution requirements.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-009","MS-T6-RESP-001-A","UNCERTAINTY_CLASS","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T6-RESP-001-A;UNCERTAINTY_CLASS","The governed response retained the missing state, prevented unsupported action, and preserved resolution requirements.","NOT_REQUIRED","PRESERVED"
"MS-T6-ASM-010","MS-T6-RESP-001-B","ACTION_CONTROL","AS-001","FAILED","MATERIAL","NON_COMPENSABLE","MS-T6-RESP-001-B;ACTION_CONTROL","The ungoverned response converted missing evidence into certainty and authorized action without admissible support.","NOT_REQUIRED","FAILED"
"MS-T6-ASM-011","MS-T6-RESP-001-B","CERTAINTY_CLAIM","AS-001","INFLATED","MATERIAL","NON_COMPENSABLE","MS-T6-RESP-001-B;CERTAINTY_CLAIM","The ungoverned response converted missing evidence into certainty and authorized action without admissible support.","NOT_REQUIRED","INFLATED"
"MS-T6-ASM-012","MS-T6-RESP-001-B","DECISION","AS-001","INVALID","MATERIAL","NON_COMPENSABLE","MS-T6-RESP-001-B;DECISION","The ungoverned response converted missing evidence into certainty and authorized action without admissible support.","NOT_REQUIRED","INVALID"
