"EvidenceID","TheoremID","VerificationID","EvidenceClass","MatchClass","AuthorityWeight","Disposition","SourcePath","LineNumber","EvidenceText","CanonicalAdmission","VerificationStatus","Notes"
"SRC-0001","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","165","CONTEXT_ONLY","registries/THEOREM_VERIFICATION_REGISTER.csv","2","""MS-VER-T1-001"",""MS-T1"",""Governed Initiation Comparative Trial"",""DESIGN_CANDIDATE"",""NOT_COLLECTED"",""NOT_STARTED"",""OPEN"",""CONTROLLED_OBSERVER_TRIAL"",""ENTRY_CONDITION"",""MATERIAL_SEMANTIC_DIVERGENCE"",""UNRESTRICTED_ENTRY"",""GOVERNED_INITIATION"",""REQUIRED"",""0.1.0"",""Executable verification package instantiated at volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL.""","NOT_ADMITTED","UNVERIFIED",""
"SRC-0004","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","125","CONTEXT_ONLY","volumes/VOLUME_I_FOUNDATION/THEOREM_REGISTRY.md","396","+-- MS-T1 Governed Initiation Necessity","NOT_ADMITTED","UNVERIFIED",""
"SRC-0003","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","125","CONTEXT_ONLY","volumes/VOLUME_I_FOUNDATION/THEOREM_REGISTRY.md","47","## 3. Theorem MS-T1 â€” Governed Initiation Necessity","NOT_ADMITTED","UNVERIFIED",""
"SRC-0005","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","125","CONTEXT_ONLY","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/DATA_DICTIONARY.md","1","# MS-T1 Data Dictionary","NOT_ADMITTED","UNVERIFIED",""
"SRC-0006","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","125","CONTEXT_ONLY","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/DESIGN.md","1","# MS-T1 â€” Governed Initiation Comparative Trial","NOT_ADMITTED","UNVERIFIED",""
"SRC-0008","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","125","CONTEXT_ONLY","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/DESIGN.md","145","MS-T1 receives preliminary support when:","NOT_ADMITTED","UNVERIFIED",""
"SRC-0009","MS-T1","MS-T1-VERIFICATION","FALSIFICATION_CONDITION_CANDIDATE","EXACT_THEOREM_ID","125","ADMISSIBLE_CANONICAL_CANDIDATE","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/DESIGN.md","155","MS-T1 is falsified within the tested scope when:","CANDIDATE","UNVERIFIED",""
"SRC-0007","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","125","CONTEXT_ONLY","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/DESIGN.md","4","**Theorem Identifier:** MS-T1","NOT_ADMITTED","UNVERIFIED",""
"SRC-0010","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","125","CONTEXT_ONLY","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/DISPOSITION.md","1","# MS-T1 Disposition","NOT_ADMITTED","UNVERIFIED",""
"SRC-0011","MS-T1","MS-T1-VERIFICATION","SUPPORTING_CONTEXT_ONLY","EXACT_THEOREM_ID","125","CONTEXT_ONLY","volumes/VOLUME_I_FOUNDATION/verification/MS-T1_GOVERNED_INITIATION_TRIAL/DISPOSITION.md","5","**Theorem Identifier:** MS-T1","NOT_ADMITTED","UNVERIFIED",""
