"RelativePath","ArtifactClass","SourcePath","DestinationPath","SizeBytes","SourceSHA256","PackageSHA256","HashPreserved","PackagingStatus","PackagedAt"
".gitignore","OTHER","C:\Users\18177\morning-star\.gitignore","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\other\.gitignore","106","279DF6E21B59C13C01F23ED271C53BE32D232C45841862E9C6484EC0FF74B744","279DF6E21B59C13C01F23ED271C53BE32D232C45841862E9C6484EC0FF74B744","True","COPIED_AND_VERIFIED","2026-07-25T04:10:04.9813246-05:00"
"_architecture_inventory\CSV_SCHEMA_INVENTORY_20260723-181636.csv","OTHER","C:\Users\18177\morning-star\_architecture_inventory\CSV_SCHEMA_INVENTORY_20260723-181636.csv","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\other\_architecture_inventory\CSV_SCHEMA_INVENTORY_20260723-181636.csv","186721","8CE48B5C9A9FF2513A839B3DAFEC8567382282A15862E04C9D9A2E7F17013457","8CE48B5C9A9FF2513A839B3DAFEC8567382282A15862E04C9D9A2E7F17013457","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.0148868-05:00"
"_architecture_inventory\DIRECTORY_INVENTORY_20260723-181636.csv","OTHER","C:\Users\18177\morning-star\_architecture_inventory\DIRECTORY_INVENTORY_20260723-181636.csv","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\other\_architecture_inventory\DIRECTORY_INVENTORY_20260723-181636.csv","219895","FEF5681530EE0ED49B3925534C26DF8A2D455A2F45BDDCE59CC8884B41E6FF82","FEF5681530EE0ED49B3925534C26DF8A2D455A2F45BDDCE59CC8884B41E6FF82","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.0294272-05:00"
"_architecture_inventory\GOVERNANCE_CANDIDATES_20260723-181636.csv","OTHER","C:\Users\18177\morning-star\_architecture_inventory\GOVERNANCE_CANDIDATES_20260723-181636.csv","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\other\_architecture_inventory\GOVERNANCE_CANDIDATES_20260723-181636.csv","54105","2EEA69C5D2C40F061278E4B4AE53C37041DB8E91D716D1F6CF99CA17AA0E472D","2EEA69C5D2C40F061278E4B4AE53C37041DB8E91D716D1F6CF99CA17AA0E472D","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.0404735-05:00"
"_architecture_inventory\MORNING_STAR_REPOSITORY_INVENTORY_20260723-181636.json","OTHER","C:\Users\18177\morning-star\_architecture_inventory\MORNING_STAR_REPOSITORY_INVENTORY_20260723-181636.json","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\other\_architecture_inventory\MORNING_STAR_REPOSITORY_INVENTORY_20260723-181636.json","47830","64FA431524388FD3A65DD33F2EDD2A9B3BAC2D3A80B47A75089A2385EE89E44F","64FA431524388FD3A65DD33F2EDD2A9B3BAC2D3A80B47A75089A2385EE89E44F","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.0484738-05:00"
"_architecture_inventory\MORNING_STAR_REPOSITORY_INVENTORY_LATEST.json","OTHER","C:\Users\18177\morning-star\_architecture_inventory\MORNING_STAR_REPOSITORY_INVENTORY_LATEST.json","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\other\_architecture_inventory\MORNING_STAR_REPOSITORY_INVENTORY_LATEST.json","47830","64FA431524388FD3A65DD33F2EDD2A9B3BAC2D3A80B47A75089A2385EE89E44F","64FA431524388FD3A65DD33F2EDD2A9B3BAC2D3A80B47A75089A2385EE89E44F","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.0564726-05:00"
"activation\community-operations\COMMUNITY_GROWTH_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\community-operations\COMMUNITY_GROWTH_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\community-operations\COMMUNITY_GROWTH_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.0644785-05:00"
"activation\community-operations\CONTRIBUTOR_OPERATIONS_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\community-operations\CONTRIBUTOR_OPERATIONS_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\community-operations\CONTRIBUTOR_OPERATIONS_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.0714784-05:00"
"activation\community-operations\KNOWLEDGE_EXCHANGE_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\community-operations\KNOWLEDGE_EXCHANGE_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\community-operations\KNOWLEDGE_EXCHANGE_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.0784804-05:00"
"activation\community-operations\PARTICIPATION_GOVERNANCE_MODEL.md","DOCUMENTATION","C:\Users\18177\morning-star\activation\community-operations\PARTICIPATION_GOVERNANCE_MODEL.md","C:\Users\18177\morning-star\release\staging\morning-star-release-candidate\documentation\activation\community-operations\PARTICIPATION_GOVERNANCE_MODEL.md","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","True","COPIED_AND_VERIFIED","2026-07-25T04:10:05.0864965-05:00"
