"WorkItemIndex","TransactionID","TheoremID","SourceFile","CsvRow","RecordIdentity","EntryAuthority","FieldName","Instruction","Reason","RequiredResolution","ResolutionStatus"
"8","BATCH-A-TXN-324F65A746BDCD34","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","AuthoritySource","Provide a traceable reference to the supporting controlled source or observation.","GOVERNED_DESIGN_REVIEW_REQUIRED","Provide a constitutionally supported value before validation and synchronization.","OPEN"
"9","BATCH-A-TXN-367AA7E2A9D60060","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","CanonicalSource","Provide a traceable reference to the supporting controlled source or observation.","GOVERNED_DESIGN_REVIEW_REQUIRED","Provide a constitutionally supported value before validation and synchronization.","OPEN"
"10","BATCH-A-TXN-41A99F3CC337EE98","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","DependencyIDs","Complete from the governed trial design before execution begins.","GOVERNED_DESIGN_REVIEW_REQUIRED","Provide a constitutionally supported value before validation and synchronization.","OPEN"
"13","BATCH-A-TXN-583F93133B7E5081","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","GoverningVersion","Complete from the governed trial design before execution begins.","GOVERNED_DESIGN_REVIEW_REQUIRED","Provide a constitutionally supported value before validation and synchronization.","OPEN"
"14","BATCH-A-TXN-60B3AB525B48DAF6","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","MaterialPropertyCount","Complete from the governed trial design before execution begins.","GOVERNED_DESIGN_REVIEW_REQUIRED","Provide a constitutionally supported value before validation and synchronization.","OPEN"
"15","BATCH-A-TXN-C16442CFDE2AAD64","MS-T1","TRIAL_CASES.csv","2","MS-T1-CASE-001","GOVERNED_CASE_DESIGN","UncertaintyState","Complete from the governed trial design before execution begins.","GOVERNED_DESIGN_REVIEW_REQUIRED","Provide a constitutionally supported value before validation and synchronization.","OPEN"
"16","BATCH-A-TXN-A88BF93710FD752E","MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","GOVERNED_DEPENDENCY_DESIGN","CanonicalSource","Provide a traceable reference to the supporting controlled source or observation.","GOVERNED_DESIGN_REVIEW_REQUIRED","Provide a constitutionally supported value before validation and synchronization.","OPEN"
"17","BATCH-A-TXN-6B38111223233C15","MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","GOVERNED_DEPENDENCY_DESIGN","ChainName","Define the canonical dependency relationship and expected propagation boundary.","GOVERNED_DESIGN_REVIEW_REQUIRED","Provide a constitutionally supported value before validation and synchronization.","OPEN"
"18","BATCH-A-TXN-6433A03DB1524DAF","MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","GOVERNED_DEPENDENCY_DESIGN","CorrectionAvailability","Define the canonical dependency relationship and expected propagation boundary.","GOVERNED_DESIGN_REVIEW_REQUIRED","Provide a constitutionally supported value before validation and synchronization.","OPEN"
"19","BATCH-A-TXN-AAD8359D31B70D92","MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","GOVERNED_DEPENDENCY_DESIGN","DependencyDepth","Define the canonical dependency relationship and expected propagation boundary.","GOVERNED_DESIGN_REVIEW_REQUIRED","Provide a constitutionally supported value before validation and synchronization.","OPEN"
"20","BATCH-A-TXN-E735DEA2E43B4106","MS-T2","DEPENDENCY_CHAINS.csv","2","MS-T2-CHAIN-001","GOVERNED_DEPENDENCY_DESIGN","GoverningVersion","Define the canonical dependency relationship and expected propagation boundary.","GOVERNED_DESIGN_REVIEW_REQUIRED","Provide a constitutionally supported value before validation and synchronization.","OPEN"
"32","BATCH-A-TXN-89494DBCB8913A39","MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","GOVERNED_CASE_DESIGN","CorrectionEnabled","Complete from the governed trial design before execution begins.","GOVERNED_DESIGN_REVIEW_REQUIRED","Provide a constitutionally supported value before validation and synchronization.","OPEN"
"33","BATCH-A-TXN-B2DE4EB0D5FFDF69","MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","GOVERNED_CASE_DESIGN","OriginalValue","Complete from the governed trial design before execution begins.","GOVERNED_DESIGN_REVIEW_REQUIRED","Provide a constitutionally supported value before validation and synchronization.","OPEN"
"34","BATCH-A-TXN-A44B5E017D708522","MS-T2","TRIAL_CASES.csv","2","MS-T2-CASE-001-A","GOVERNED_CASE_DESIGN","SeededValue","Complete from the governed trial design before execution begins.","GOVERNED_DESIGN_REVIEW_REQUIRED","Provide a constitutionally supported value before validation and synchronization.","OPEN"
