"TraceEventID","TrialID","EventSequence","EventTime","EventType","PriorState","NewState","AuthorityReference","EvidenceReference","Actor","Notes"
"TRACE-0001","MS-T1-TRIAL-0001","1","2026-07-22T19:26:47.2638114Z","TRIAL_CREATED","NONEXISTENT","CREATED","source_snapshot","","MORNING_STAR_VERIFICATION_RUNTIME","Trial workspace instantiated. No theorem execution performed."
"TRACE-0002","MS-T1-TRIAL-0001","2","2026-07-22T19:29:20.8872807Z","AUTHORITY_SNAPSHOT_CREATED","CREATED","AUTHORITY_SNAPSHOT_CREATED","authority_snapshot","","MORNING_STAR_VERIFICATION_RUNTIME","Permanent theorem authority copied into the governed trial workspace."
"TRACE-0003","MS-T1-TRIAL-0001","3","2026-07-22T19:31:18.5992537Z","EVIDENCE_INTAKE_OPENED","AUTHORITY_SNAPSHOT_CREATED","EVIDENCE_INTAKE_OPEN","EVIDENCE_INTAKE_PLAN.md","","MORNING_STAR_VERIFICATION_RUNTIME","Evidence classes and evidence requirements initialized. No evidence registered."
"TRACE-0004","MS-T1-TRIAL-0001","4","2026-07-22T19:32:58.9603610Z","EVIDENCE_SUBMISSION_WORKSPACE_OPENED","EVIDENCE_INTAKE_OPEN","EVIDENCE_SUBMISSION_OPEN","EVIDENCE_INTAKE_PLAN.md","","MORNING_STAR_VERIFICATION_RUNTIME","Candidate evidence submission directories and registration templates created."
"TRACE-0005","MS-T1-TRIAL-0001","5","2026-07-22T19:35:34.0753898Z","EVIDENCE_COLLECTION_REQUESTS_PREPARED","EVIDENCE_SUBMISSION_OPEN","EVIDENCE_COLLECTION_READY","EVIDENCE_COLLECTION_PLAN.md","","MORNING_STAR_VERIFICATION_RUNTIME","Five governed evidence-class collection requests prepared. No evidence submitted."
"TRACE-0006","MS-T1-TRIAL-0001","6","2026-07-22T19:39:55.6597936Z","TRIAL_PROTOCOL_PREPARED","EVIDENCE_COLLECTION_READY","TRIAL_PROTOCOL_PREPARED","runtime/TRIAL_PROTOCOL.md","","MORNING_STAR_VERIFICATION_RUNTIME","Trial protocol and execution gate prepared. Execution remains blocked pending evidence."
"TRACE-0007","MS-T1-TRIAL-0001","7","2026-07-22T19:58:11.0467019Z","REFERENCE_EVIDENCE_SUBMITTED","TRIAL_PROTOCOL_PREPARED","REFERENCE_EVIDENCE_SUBMITTED","runtime/TRIAL_PROTOCOL.md","SUB-0001|SUB-0002|SUB-0003|SUB-0004|SUB-0005","MORNING_STAR_REFERENCE_RUNTIME","Five controlled reference evidence items submitted pending governed registration."
"TRACE-0008","MS-T1-TRIAL-0001","8","2026-07-22T20:01:01.1825093Z","EVIDENCE_REGISTERED","REFERENCE_EVIDENCE_SUBMITTED","EVIDENCE_REGISTERED","registered/EVIDENCE_REGISTRATION_REPORT.md","MS-T1-EV-0001|MS-T1-EV-0002|MS-T1-EV-0003|MS-T1-EV-0004|MS-T1-EV-0005","MORNING_STAR_VERIFICATION_RUNTIME","Five evidence items registered with matching SHA-256 integrity. Review remains pending."
"TRACE-0009","MS-T1-TRIAL-0001","9","2026-07-22T20:05:07.6502049Z","EVIDENCE_REVIEW_COMPLETED","EVIDENCE_REGISTERED","EVIDENCE_REVIEW_COMPLETE","assessment/EVIDENCE_REVIEW_REPORT.md","MS-T1-EV-0001|MS-T1-EV-0002|MS-T1-EV-0003|MS-T1-EV-0004|MS-T1-EV-0005","MORNING_STAR_VERIFICATION_RUNTIME","Five registered evidence items reviewed and admitted for controlled reference-scenario evaluation."
"TRACE-0010","MS-T1-TRIAL-0001","10","2026-07-22T20:09:37.9460809Z","CONSTRAINT_EVALUATION_COMPLETED","EVIDENCE_REVIEW_COMPLETE","CONSTRAINT_EVALUATION_COMPLETE","assessment/CONSTRAINT_EVALUATION_REPORT.md","MS-T1-EV-0001|MS-T1-EV-0002|MS-T1-EV-0003|MS-T1-EV-0004|MS-T1-EV-0005","MORNING_STAR_VERIFICATION_RUNTIME","6 of 6 applicable constraints satisfied. Condition evaluation remains pending."
"TRACE-0011","MS-T1-TRIAL-0001","11","2026-07-22T20:14:02.6445232Z","CONSTRAINT_EVALUATION_COMPLETED","EVIDENCE_REVIEW_COMPLETE","CONSTRAINT_EVALUATION_COMPLETE","assessment/CONSTRAINT_EVALUATION_REPORT.md","MS-T1-EV-0001|MS-T1-EV-0002|MS-T1-EV-0003|MS-T1-EV-0004|MS-T1-EV-0005","MORNING_STAR_VERIFICATION_RUNTIME","6 of 6 applicable constraints satisfied. Condition evaluation remains pending."
