"TheoremID","Step","Action","Status"
"MS-T1","1","Complete and validate governed trial cases.","NOT_STARTED"
"MS-T1","2","Register observers and entry conditions.","NOT_STARTED"
"MS-T1","3","Collect governed and unrestricted observer responses.","NOT_STARTED"
"MS-T1","4","Assess each material semantic property.","NOT_STARTED"
"MS-T1","5","Adjudicate disputed assessments.","NOT_STARTED"
"MS-T1","6","Calculate divergence, failure, and agreement measures.","NOT_STARTED"
"MS-T1","7","Assign the theorem disposition from collected evidence.","NOT_STARTED"
"MS-T2","1","Complete and validate dependency-chain definitions.","NOT_STARTED"
"MS-T2","2","Complete canonical and divergent paired cases.","NOT_STARTED"
"MS-T2","3","Execute each dependency-chain condition.","NOT_STARTED"
"MS-T2","4","Register every observed propagation event.","NOT_STARTED"
"MS-T2","5","Assess downstream semantic effects.","NOT_STARTED"
"MS-T2","6","Execute available correction attempts.","NOT_STARTED"
"MS-T2","7","Calculate propagation, correction, and residual-divergence measures.","NOT_STARTED"
"MS-T2","8","Assign the theorem disposition from collected evidence.","NOT_STARTED"
