"ControlID","TheoremID","ControlClass","ControlDescription","ControlStatus"
"MS-T1-CTRL-001","MS-T1","SCHEMA_VALIDATION","Every governed CSV must exist and preserve its declared schema.","IMPLEMENTED"
"MS-T1-CTRL-002","MS-T1","EVIDENCE_COMPLETENESS","Every material evidence row must contain values for all declared fields.","IMPLEMENTED"
"MS-T1-CTRL-003","MS-T1","IDENTITY_UNIQUENESS","Evidence identities must not be duplicated within a governed CSV.","IMPLEMENTED"
"MS-T1-CTRL-004","MS-T1","NO_SYNTHETIC_EVIDENCE","The harness validates supplied evidence but does not invent observations, assessments, or outcomes.","ENFORCED"
"MS-T1-CTRL-005","MS-T1","DISPOSITION_GATING","Theorem scoring and disposition remain blocked until all required evidence files validate.","ENFORCED"
"MS-T2-CTRL-001","MS-T2","SCHEMA_VALIDATION","Every governed CSV must exist and preserve its declared schema.","IMPLEMENTED"
"MS-T2-CTRL-002","MS-T2","EVIDENCE_COMPLETENESS","Every material evidence row must contain values for all declared fields.","IMPLEMENTED"
"MS-T2-CTRL-003","MS-T2","IDENTITY_UNIQUENESS","Evidence identities must not be duplicated within a governed CSV.","IMPLEMENTED"
"MS-T2-CTRL-004","MS-T2","NO_SYNTHETIC_EVIDENCE","The harness validates supplied evidence but does not invent observations, assessments, or outcomes.","ENFORCED"
"MS-T2-CTRL-005","MS-T2","DISPOSITION_GATING","Theorem scoring and disposition remain blocked until all required evidence files validate.","ENFORCED"
