"TheoremID","FileName","CsvRow","RecordIdentity","MissingField","EntryAuthority","Instruction","CompletionStatus"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessmentID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","ResponseID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","PropertyID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","PropertyClass","GOVERNED_ASSESSOR_JUDGMENT","Assess against the declared semantic criteria and cite the supporting response evidence.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","Compensability","GOVERNED_ASSESSOR_JUDGMENT","Assess against the declared semantic criteria and cite the supporting response evidence.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessorID","CONTROLLED_ID_ASSIGNMENT","Assign a unique stable identifier. Do not reuse an existing identity.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AssessmentResult","GOVERNED_ASSESSOR_JUDGMENT","Use only an authorized value defined by the trial procedure or data dictionary.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","Materiality","GOVERNED_ASSESSOR_JUDGMENT","Assess against the declared semantic criteria and cite the supporting response evidence.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","EvidenceReference","GOVERNED_ASSESSOR_JUDGMENT","Provide a traceable reference to the supporting controlled source or observation.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","Rationale","GOVERNED_ASSESSOR_JUDGMENT","State the evidence-based rationale. Preserve uncertainty and contradictory observations.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","AdjudicationStatus","GOVERNED_ASSESSOR_JUDGMENT","Use only an authorized value defined by the trial procedure or data dictionary.","NOT_ENTERED"
"MS-T1","SEMANTIC_ASSESSMENTS.csv","2","UNASSIGNED-ROW-2","FinalResult","GOVERNED_ASSESSOR_JUDGMENT","Use only an authorized value defined by the trial procedure or data dictionary.","NOT_ENTERED"
