"AssessmentID","ResponseID","PropertyClass","AssessorID","AssessmentResult","Materiality","Compensability","EvidenceReference","Rationale","AdjudicationStatus","FinalResult"
"MS-T7-ASM-001","MS-T7-RESP-001-A","SUBJECT","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-A;MS-T7-CLAIM-001;SUBJECT","The governed response preserved every declared scope property and rejected unsupported expansion.","NOT_REQUIRED","PRESERVED"
"MS-T7-ASM-002","MS-T7-RESP-001-A","DOMAIN","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-A;MS-T7-CLAIM-001;DOMAIN","The governed response preserved every declared scope property and rejected unsupported expansion.","NOT_REQUIRED","PRESERVED"
"MS-T7-ASM-003","MS-T7-RESP-001-A","CONDITIONS","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-A;MS-T7-CLAIM-001;CONDITIONS","The governed response preserved every declared scope property and rejected unsupported expansion.","NOT_REQUIRED","PRESERVED"
"MS-T7-ASM-004","MS-T7-RESP-001-A","EVIDENCE_BOUNDARY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-A;MS-T7-CLAIM-001;EVIDENCE_BOUNDARY","The governed response preserved every declared scope property and rejected unsupported expansion.","NOT_REQUIRED","PRESERVED"
"MS-T7-ASM-005","MS-T7-RESP-001-A","AUTHORITY_BOUNDARY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-A;MS-T7-CLAIM-001;AUTHORITY_BOUNDARY","The governed response preserved every declared scope property and rejected unsupported expansion.","NOT_REQUIRED","PRESERVED"
"MS-T7-ASM-006","MS-T7-RESP-001-A","VERSION","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-A;MS-T7-CLAIM-001;VERSION","The governed response preserved every declared scope property and rejected unsupported expansion.","NOT_REQUIRED","PRESERVED"
"MS-T7-ASM-007","MS-T7-RESP-001-A","APPLICATION","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-A;MS-T7-CLAIM-001;APPLICATION","The governed response preserved every declared scope property and rejected unsupported expansion.","NOT_REQUIRED","PRESERVED"
"MS-T7-ASM-008","MS-T7-RESP-001-A","EXCLUSIONS","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-A;MS-T7-CLAIM-001;EXCLUSIONS","The governed response preserved every declared scope property and rejected unsupported expansion.","NOT_REQUIRED","PRESERVED"
"MS-T7-ASM-009","MS-T7-RESP-001-A","UNCERTAINTY","AS-001","PRESERVED","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-A;MS-T7-CLAIM-001;UNCERTAINTY","The governed response preserved every declared scope property and rejected unsupported expansion.","NOT_REQUIRED","PRESERVED"
"MS-T7-ASM-010","MS-T7-RESP-001-B","SUBJECT","AS-001","EXPANDED_WITHOUT_SUPPORT","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-B;MS-T7-CLAIM-001;SUBJECT","The ungoverned response enlarged the subject, domain, authority, application, evidence boundary, and temporal validity without admissible evidence.","NOT_REQUIRED","EXPANDED_WITHOUT_SUPPORT"
"MS-T7-ASM-011","MS-T7-RESP-001-B","DOMAIN","AS-001","EXPANDED_WITHOUT_SUPPORT","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-B;MS-T7-CLAIM-001;DOMAIN","The ungoverned response enlarged the subject, domain, authority, application, evidence boundary, and temporal validity without admissible evidence.","NOT_REQUIRED","EXPANDED_WITHOUT_SUPPORT"
"MS-T7-ASM-012","MS-T7-RESP-001-B","CONDITIONS","AS-001","EXPANDED_WITHOUT_SUPPORT","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-B;MS-T7-CLAIM-001;CONDITIONS","The ungoverned response enlarged the subject, domain, authority, application, evidence boundary, and temporal validity without admissible evidence.","NOT_REQUIRED","EXPANDED_WITHOUT_SUPPORT"
"MS-T7-ASM-013","MS-T7-RESP-001-B","EVIDENCE_BOUNDARY","AS-001","EXPANDED_WITHOUT_SUPPORT","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-B;MS-T7-CLAIM-001;EVIDENCE_BOUNDARY","The ungoverned response enlarged the subject, domain, authority, application, evidence boundary, and temporal validity without admissible evidence.","NOT_REQUIRED","EXPANDED_WITHOUT_SUPPORT"
"MS-T7-ASM-014","MS-T7-RESP-001-B","AUTHORITY_BOUNDARY","AS-001","EXPANDED_WITHOUT_SUPPORT","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-B;MS-T7-CLAIM-001;AUTHORITY_BOUNDARY","The ungoverned response enlarged the subject, domain, authority, application, evidence boundary, and temporal validity without admissible evidence.","NOT_REQUIRED","EXPANDED_WITHOUT_SUPPORT"
"MS-T7-ASM-015","MS-T7-RESP-001-B","VERSION","AS-001","EXPANDED_WITHOUT_SUPPORT","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-B;MS-T7-CLAIM-001;VERSION","The ungoverned response enlarged the subject, domain, authority, application, evidence boundary, and temporal validity without admissible evidence.","NOT_REQUIRED","EXPANDED_WITHOUT_SUPPORT"
"MS-T7-ASM-016","MS-T7-RESP-001-B","APPLICATION","AS-001","EXPANDED_WITHOUT_SUPPORT","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-B;MS-T7-CLAIM-001;APPLICATION","The ungoverned response enlarged the subject, domain, authority, application, evidence boundary, and temporal validity without admissible evidence.","NOT_REQUIRED","EXPANDED_WITHOUT_SUPPORT"
"MS-T7-ASM-017","MS-T7-RESP-001-B","EXCLUSIONS","AS-001","EXPANDED_WITHOUT_SUPPORT","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-B;MS-T7-CLAIM-001;EXCLUSIONS","The ungoverned response enlarged the subject, domain, authority, application, evidence boundary, and temporal validity without admissible evidence.","NOT_REQUIRED","EXPANDED_WITHOUT_SUPPORT"
"MS-T7-ASM-018","MS-T7-RESP-001-B","UNCERTAINTY","AS-001","EXPANDED_WITHOUT_SUPPORT","MATERIAL","NON_COMPENSABLE","MS-T7-RESP-001-B;MS-T7-CLAIM-001;UNCERTAINTY","The ungoverned response enlarged the subject, domain, authority, application, evidence boundary, and temporal validity without admissible evidence.","NOT_REQUIRED","EXPANDED_WITHOUT_SUPPORT"
